frame,h0_lm0_x,h0_lm0_y,h0_lm0_z,h0_lm1_x,h0_lm1_y,h0_lm1_z,h0_lm2_x,h0_lm2_y,h0_lm2_z,h0_lm3_x,h0_lm3_y,h0_lm3_z,h0_lm4_x,h0_lm4_y,h0_lm4_z,h0_lm5_x,h0_lm5_y,h0_lm5_z,h0_lm6_x,h0_lm6_y,h0_lm6_z,h0_lm7_x,h0_lm7_y,h0_lm7_z,h0_lm8_x,h0_lm8_y,h0_lm8_z,h0_lm9_x,h0_lm9_y,h0_lm9_z,h0_lm10_x,h0_lm10_y,h0_lm10_z,h0_lm11_x,h0_lm11_y,h0_lm11_z,h0_lm12_x,h0_lm12_y,h0_lm12_z,h0_lm13_x,h0_lm13_y,h0_lm13_z,h0_lm14_x,h0_lm14_y,h0_lm14_z,h0_lm15_x,h0_lm15_y,h0_lm15_z,h0_lm16_x,h0_lm16_y,h0_lm16_z,h0_lm17_x,h0_lm17_y,h0_lm17_z,h0_lm18_x,h0_lm18_y,h0_lm18_z,h0_lm19_x,h0_lm19_y,h0_lm19_z,h0_lm20_x,h0_lm20_y,h0_lm20_z,h1_lm0_x,h1_lm0_y,h1_lm0_z,h1_lm1_x,h1_lm1_y,h1_lm1_z,h1_lm2_x,h1_lm2_y,h1_lm2_z,h1_lm3_x,h1_lm3_y,h1_lm3_z,h1_lm4_x,h1_lm4_y,h1_lm4_z,h1_lm5_x,h1_lm5_y,h1_lm5_z,h1_lm6_x,h1_lm6_y,h1_lm6_z,h1_lm7_x,h1_lm7_y,h1_lm7_z,h1_lm8_x,h1_lm8_y,h1_lm8_z,h1_lm9_x,h1_lm9_y,h1_lm9_z,h1_lm10_x,h1_lm10_y,h1_lm10_z,h1_lm11_x,h1_lm11_y,h1_lm11_z,h1_lm12_x,h1_lm12_y,h1_lm12_z,h1_lm13_x,h1_lm13_y,h1_lm13_z,h1_lm14_x,h1_lm14_y,h1_lm14_z,h1_lm15_x,h1_lm15_y,h1_lm15_z,h1_lm16_x,h1_lm16_y,h1_lm16_z,h1_lm17_x,h1_lm17_y,h1_lm17_z,h1_lm18_x,h1_lm18_y,h1_lm18_z,h1_lm19_x,h1_lm19_y,h1_lm19_z,h1_lm20_x,h1_lm20_y,h1_lm20_z
0,0.6762549877166748,-0.07002096623182297,1.1460000276565552,0.6516926884651184,-0.06141195446252823,1.1649999618530273,0.6204536557197571,-0.038994938135147095,1.1579999923706055,0.604595422744751,-0.013157133013010025,1.1549999713897705,0.6015331149101257,0.010158970020711422,1.156000018119812,0.6138379573822021,-0.038340821862220764,1.1749999523162842,0.5796705484390259,-0.0046447343192994595,1.1770000457763672,0.5708756446838379,0.020447352901101112,1.1790000200271606,0.5688333511352539,0.04074001684784889,1.184999942779541,0.617894172668457,-0.032651543617248535,1.1510000228881836,0.5965940356254578,0.018794706091284752,1.1579999923706055,0.5943052768707275,0.04853707179427147,1.1629999876022339,0.5952585935592651,0.06841668486595154,1.1649999618530273,0.6343044638633728,-0.0262291356921196,1.1380000114440918,0.6189093589782715,0.02454228699207306,1.1419999599456787,0.6157587766647339,0.05133414641022682,1.1449999809265137,0.6142928004264832,0.07102120667695999,1.1490000486373901,0.6541714072227478,-0.02004830539226532,1.1299999952316284,0.6500830054283142,0.018282098695635796,1.1330000162124634,0.64429771900177,0.038400910794734955,1.125,0.6413632035255432,0.05393984913825989,1.1260000467300415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0.6785983443260193,-0.07001429051160812,1.1460000276565552,0.6528880000114441,-0.061409078538417816,1.1649999618530273,0.6227186918258667,-0.03906068205833435,1.159999966621399,0.6052605509757996,-0.011920330114662647,1.1540000438690186,0.6039139628410339,0.01138380728662014,1.156000018119812,0.6143619418144226,-0.03712467849254608,1.1759999990463257,0.5821033120155334,-0.0033936321269720793,1.1770000457763672,0.5747738480567932,0.02290940470993519,1.1770000457763672,0.5742468237876892,0.040583401918411255,1.180999994277954,0.6189690232276917,-0.031484924256801605,1.152999997138977,0.5967516303062439,0.02121621184051037,1.156000018119812,0.5949854850769043,0.050960034132003784,1.1619999408721924,0.595938503742218,0.07082479447126389,1.1640000343322754,0.632633626461029,-0.023754321038722992,1.1349999904632568,0.618904709815979,0.02696462720632553,1.1419999599456787,0.6174629926681519,0.05502074211835861,1.1460000276565552,0.6172853708267212,0.07459519058465958,1.1480000019073486,0.6559085249900818,-0.01886860840022564,1.13100004196167,0.6483575701713562,0.020626192912459373,1.1299999952316284,0.643142819404602,0.04189865291118622,1.1230000257492065,0.6425150036811829,0.057404618710279465,1.1239999532699585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.6785869002342224,-0.0686793178319931,1.1440000534057617,0.6512125134468079,-0.058789048343896866,1.1619999408721924,0.6216478943824768,-0.0365360751748085,1.1579999923706055,0.6057848930358887,-0.009477764368057251,1.1549999713897705,0.6016771197319031,0.013816588558256626,1.1540000438690186,0.6145293712615967,-0.03456680476665497,1.1740000247955322,0.5840383172035217,-0.000890261260792613,1.1759999990463257,0.5747717618942261,0.024161700159311295,1.1770000457763672,0.5735034942626953,0.043136049062013626,1.1820000410079956,0.6190812587738037,-0.028986819088459015,1.1510000228881836,0.5986146330833435,0.02242051437497139,1.1549999713897705,0.5961838364601135,0.05095623433589935,1.1619999408721924,0.5964504480361938,0.07088563591241837,1.1649999618530273,0.6343573927879333,-0.02257079817354679,1.1360000371932983,0.6217963099479675,0.026983484625816345,1.1430000066757202,0.6198238134384155,0.05379752069711685,1.1460000276565552,0.6184760928153992,0.07215622067451477,1.1480000019073486,0.6559045314788818,-0.017640069127082825,1.128999948501587,0.6500963568687439,0.020603861659765244,1.128999948501587,0.6460214853286743,0.04073973000049591,1.1239999532699585,0.645395815372467,0.05625680088996887,1.125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,0.6774300336837769,-0.06880594789981842,1.1460000276565552,0.6523333787918091,-0.05889023467898369,1.1640000343322754,0.6216493844985962,-0.03530743345618248,1.1579999923706055,0.6080254316329956,-0.008265896700322628,1.156999945640564,0.6052420139312744,0.015037053264677525,1.1540000438690186,0.6141677498817444,-0.031990401446819305,1.1710000038146973,0.585969090461731,0.000358647113898769,1.1749999523162842,0.5757327675819397,0.025344613939523697,1.1740000247955322,0.576191782951355,0.044308193027973175,1.1799999475479126,0.6209096312522888,-0.02773970738053322,1.149999976158142,0.6004749536514282,0.022396838292479515,1.1540000438690186,0.5985723733901978,0.05341631546616554,1.1619999408721924,0.5995294451713562,0.07328086346387863,1.1640000343322754,0.6366884112358093,-0.022569622844457626,1.1360000371932983,0.6230534315109253,0.02693144418299198,1.1410000324249268,0.6216327548027039,0.0549563467502594,1.1449999809265137,0.6214596033096313,0.07572481036186218,1.1469999551773071,0.658215343952179,-0.017639582976698875,1.128999948501587,0.6524085402488708,0.020599784329533577,1.128999948501587,0.6483202576637268,0.04192269593477249,1.1239999532699585,0.6471158862113953,0.05857688933610916,1.1239999532699585,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,0.6786122918128967,-0.06892602890729904,1.1480000019073486,0.6540172100067139,-0.05780576914548874,1.1670000553131104,0.6228429675102234,-0.032848894596099854,1.1579999923706055,0.6082973480224609,-0.005789659917354584,1.152999997138977,0.6059034466743469,0.016246510669589043,1.152999997138977,0.6153749823570251,-0.030745957046747208,1.1710000038146973,0.586181640625,0.0028520026244223118,1.1729999780654907,0.5786457061767578,0.029111001640558243,1.1749999523162842,0.5781316161155701,0.04802558571100235,1.1790000200271606,0.623275101184845,-0.026518026366829872,1.149999976158142,0.6028486490249634,0.024843309074640274,1.1540000438690186,0.6011257171630859,0.054544009268283844,1.159999966621399,0.6014072299003601,0.07444194704294205,1.1629999876022339,0.6390194296836853,-0.021364936605095863,1.1360000371932983,0.6232003569602966,0.029243040829896927,1.1369999647140503,0.622343122959137,0.05722514167428017,1.1419999599456787,0.6248997449874878,0.07706369459629059,1.1490000486373901,0.660525918006897,-0.01644451916217804,1.128999948501587,0.6535561084747314,0.02294446900486946,1.1269999742507935,0.6506059169769287,0.044212304055690765,1.121999979019165,0.6499810218811035,0.0608876533806324,1.1230000257492065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,0.6809445023536682,-0.06879612803459167,1.1460000276565552,0.6542299389839172,-0.056270912289619446,1.1610000133514404,0.62587571144104,-0.031589578837156296,1.156999945640564,0.6118578314781189,-0.004567026160657406,1.152999997138977,0.6106503009796143,0.01746334508061409,1.152999997138977,0.6174079179763794,-0.02942398563027382,1.1679999828338623,0.5881021022796631,0.004093865863978863,1.1720000505447388,0.5805803537368774,0.029081230983138084,1.1740000247955322,0.5808013677597046,0.04793314263224602,1.1770000457763672,0.6250967979431152,-0.024056049063801765,1.1490000486373901,0.604697048664093,0.02726544626057148,1.152999997138977,0.6041824817657471,0.056945279240608215,1.159000039100647,0.6051429510116577,0.07798851281404495,1.1610000133514404,0.6396220922470093,-0.01773834601044655,1.1349999904632568,0.6289031505584717,0.031757015734910965,1.1410000324249268,0.6269505023956299,0.059737347066402435,1.1440000534057617,0.6261584758758545,0.07934914529323578,1.1469999551773071,0.6610950827598572,-0.012849477119743824,1.128000020980835,0.6575949192047119,0.025345152243971825,1.128000020980835,0.6540473103523254,0.04538876935839653,1.121999979019165,0.6528429388999939,0.06200674548745155,1.121999979019165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,0.6815268993377686,-0.06631205976009369,1.1449999809265137,0.653671383857727,-0.05376508831977844,1.159999966621399,0.6268468499183655,-0.03046831302344799,1.1610000133514404,0.6118567585945129,-0.0021193434949964285,1.152999997138977,0.6084023714065552,0.019878346472978592,1.1510000228881836,0.617408812046051,-0.028184128925204277,1.1679999828338623,0.5910241603851318,0.0065894522704184055,1.1729999780654907,0.5825051665306091,0.03154614940285683,1.1729999780654907,0.5832269787788391,0.050428591668605804,1.1770000457763672,0.6251882314682007,-0.022797029465436935,1.1469999551773071,0.6082592606544495,0.027258237823843956,1.152999997138977,0.6072399020195007,0.05688351020216942,1.1579999923706055,0.6082066893577576,0.07790502160787582,1.159999966621399,0.6419802308082581,-0.017706243321299553,1.1330000162124634,0.631925642490387,0.03045688383281231,1.1380000114440918,0.6300021409988403,0.05714554339647293,1.1410000324249268,0.6303268074989319,0.07804397493600845,1.1460000276565552,0.6628143787384033,-0.012838218361139297,1.1269999742507935,0.6598848700523376,0.025293288752436638,1.1260000467300415,0.6574909687042236,0.04537824168801308,1.121999979019165,0.6580252051353455,0.06085657328367233,1.1230000257492065,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,0.6826939582824707,-0.06751929968595505,1.1449999809265137,0.6565545797348022,-0.05390169098973274,1.1629999876022339,0.6260855793952942,-0.027809303253889084,1.152999997138977,0.6131638884544373,-0.0008953065844252706,1.1510000228881836,0.6102373003959656,0.022298168390989304,1.149999976158142,0.6187539100646973,-0.02565869316458702,1.1660000085830688,0.5931348204612732,0.007812749594449997,1.1699999570846558,0.5856356620788574,0.034003254026174545,1.1720000505447388,0.5851538777351379,0.05287826806306839,1.1759999990463257,0.6263673305511475,-0.021580040454864502,1.1469999551773071,0.6100987792015076,0.02967497706413269,1.1519999504089355,0.6090902090072632,0.05928133800625801,1.156999945640564,0.6088650226593018,0.08029109239578247,1.159000039100647,0.6437092423439026,-0.017721638083457947,1.1339999437332153,0.6342588067054749,0.03165740892291069,1.1380000114440918,0.6317821145057678,0.05950229987502098,1.1399999856948853,0.6321227550506592,0.07917758822441101,1.1449999809265137,0.6657096147537231,-0.01284968014806509,1.128000020980835,0.6633667349815369,0.02414042502641678,1.128000020980835,0.6591980457305908,0.0453307218849659,1.121000051498413,0.6591418981552124,0.061924468725919724,1.121000051498413,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,0.6850401163101196,-0.0650925561785698,1.1449999809265137,0.657808780670166,-0.05257463827729225,1.1610000133514404,0.629446804523468,-0.027904881164431572,1.156999945640564,0.6155316829681396,0.0003246566338930279,1.1510000228881836,0.6144339442253113,0.02348949946463108,1.1490000486373901,0.6211540699005127,-0.025657158344984055,1.1660000085830688,0.594340980052948,0.009055026806890965,1.1699999570846558,0.5858447551727295,0.03394245356321335,1.1699999570846558,0.585367739200592,0.054032228887081146,1.1740000247955322,0.6299024820327759,-0.021578473970294,1.1469999551773071,0.6119360327720642,0.030865544453263283,1.1510000228881836,0.6121342182159424,0.05921709164977074,1.156000018119812,0.6137703657150269,0.08012464642524719,1.156999945640564,0.644894540309906,-0.01649102196097374,1.1319999694824219,0.6354725360870361,0.0327998511493206,1.1360000371932983,0.6358494758605957,0.059541426599025726,1.1410000324249268,0.6350939273834229,0.07909191399812698,1.1440000534057617,0.6668314337730408,-0.011636093258857727,1.1260000467300415,0.6621614098548889,0.025241361930966377,1.1239999532699585,0.6609005928039551,0.04528326913714409,1.1200000047683716,0.6608486771583557,0.06067625433206558,1.1200000047683716,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.6832697987556458,-0.06624794751405716,1.1440000534057617,0.6583753824234009,-0.052619919180870056,1.1619999408721924,0.6284564137458801,-0.026584677398204803,1.152999997138977,0.6167150139808655,0.0015452650841325521,1.1510000228881836,0.6150780916213989,0.024684814736247063,1.1480000019073486,0.6223540306091309,-0.02565639279782772,1.1660000085830688,0.5955482721328735,0.009053753688931465,1.1699999570846558,0.5882613062858582,0.033936887979507446,1.1699999570846558,0.5890095233917236,0.052772652357816696,1.1740000247955322,0.6293537616729736,-0.020344536751508713,1.1460000276565552,0.6115196943283081,0.03200060874223709,1.1480000019073486,0.6126503348350525,0.06295045465230942,1.156999945640564,0.614814281463623,0.08394982665777206,1.159000039100647,0.6466253995895386,-0.015305555425584316,1.1330000162124634,0.6360263228416443,0.035237766802310944,1.1369999647140503,0.6352788805961609,0.06311140209436417,1.1399999856948853,0.6362511515617371,0.08271998167037964,1.1440000534057617,0.667982280254364,-0.010445404797792435,1.1260000467300415,0.6632753014564514,0.026378335431218147,1.121999979019165,0.6626331806182861,0.046505335718393326,1.121000051498413,0.6631670594215393,0.06315206736326218,1.121999979019165,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
